ID;MATCH_ID;EVENT_ID;TYPE_ID;PERIOD_ID;TIME_MIN;TIME_SEC;TEAM_ID;X;Y;PLAYER_ID;PLAYER_NAME;PENALTY;HEAD;RIGHT_FOOTED;OTHER_BODY_PART;REGULAR_PLAY;FAST_BREAK;SET_PIECE;FROM_CORNER;FREE_KICK;OWN_GOAL;ASSISTED;LEFT_FOOTED;TARGETED_LOW_LEFT;TARGETED_HIGH_LEFT;TARGETED_LOW_CENTER;TARGETED_HIGH_CENTER;TARGETED_LOW_RIGHT;TARGETED_HIGH_RIGHT;BLOCKED;TARGETED_CLOSE_LEFT;TARGETED_CLOSE_RIGHT;TARGETED_CLOSE_HIGH;TARGETED_CLOSE_LEFT_AND_HIGH;TARGETED_CLOSE_RIGHT_AND_HIGH;PROJECTED_GOAL_MOUTH_Y;PROJECTED_GOAL_MOUTH_Z;DEFLECTION;HIT_WOODWORK;BIG_CHANCE;INDIVIDUAL_CHANCE;HIT_RIGHT_POST;HIT_LEFT_POST;HIT_BAR;OUT_ON_SIDELINE;KICKOFF;FIRST_TOUCH;NOT_ASSISTED;EVENT_TYPE_NAME;TEAM_NAME;IS_GOAL;GOAL_CNT;RESULT;TEAM_SIDE;X_REL_PC;Y_REL_PC;X_REL_M;Y_REL_M;X_REL_M_TEAM;Y_REL_M_TEAM;DISTANCE;DISTANCE_BUCKET;EVENT_COUNT;FOOTBALL_PITCH_CELL;MATCH_DATE
1270006212;9f0cekhz9f0ddd0hen44ue8ve;400;15;2;48;31;;85,8;58,4;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;Y;N;N;N;N;N;N;N;N;N;50,8;10,8;N;N;Y;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;home;14,2;8,4;14,768;5,712;14,768;-5,712;15,83416458;16;1;X14|Y4;18-nov-17
1895231129;9f0cekhz9f0ddd0hen44ue8ve;548;13;2;51;46;;84,9;34,6;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;47,4;76,4;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;15,1;-15,4;15,704;-10,472;88,296;-10,472;18,87533841;19;1;X14|Y-12;18-nov-17
1728503213;9f0cekhz9f0ddd0hen44ue8ve;562;13;2;53;57;;81,3;42,9;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;47,1;95,8;N;N;N;Y;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;18,7;-7,1;19,448;-4,828;84,552;-4,828;20,03832049;21;1;X18|Y-6;18-nov-17
1710410581;9f0cekhz9f0ddd0hen44ue8ve;609;13;2;58;50;;87,3;40,4;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;39,5;27,8;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;12,7;-9,6;13,208;-6,528;90,792;-6,528;14,73316151;15;1;X12|Y-8;18-nov-17
2006118772;9f0cekhz9f0ddd0hen44ue8ve;684;13;2;68;58;;75,2;25,9;;anonymized;N;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;44,2;77,8;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;24,8;-24,1;25,792;-16,388;78,208;-16,388;30,55803999;31;1;X24|Y-18;18-nov-17
1902129606;9f0cekhz9f0ddd0hen44ue8ve;742;15;2;74;56;;84,1;25,2;;anonymized;N;N;Y;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;away;15,9;-24,8;16,536;-16,864;87,464;-16,864;23,61850529;24;1;X16|Y-18;18-nov-17
1492260948;9f0cekhz9f0ddd0hen44ue8ve;746;15;2;75;10;;76,8;64,7;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;23,2;14,7;24,128;9,996;79,872;9,996;26,11666901;27;1;X24|Y8;18-nov-17
1488687681;9f0cekhz9f0ddd0hen44ue8ve;616;15;2;85;31;;86;53,6;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;home;14;3,6;14,56;2,448;14,56;-2,448;14,76435925;15;1;X14|Y2;18-nov-17
1881384452;9f0cekhz9f0ddd0hen44ue8ve;862;13;2;90;13;;87,8;47;;anonymized;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;13,9;9,7;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;12,2;-3;12,688;-2,04;91,312;-2,04;12,85095109;13;1;X12|Y-4;18-nov-17
1923052206;9f0cekhz9f0ddd0hen44ue8ve;678;15;2;92;12;;88,5;56,9;;anonymized;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;home;11,5;6,9;11,96;4,692;11,96;-4,692;12,84743025;13;1;X10|Y4;18-nov-17
1353596223;9f0cekhz9f0ddd0hen44ue8ve;907;15;2;94;33;;90,7;51,1;;anonymized;N;Y;N;N;Y;N;N;N;N;N;Y;N;N;Y;N;N;N;N;N;N;N;N;N;N;52,1;21,5;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;9,3;1,1;9,672;0,748;94,328;0,748;9,700880785;10;1;X8|Y0;18-nov-17
1662733896;9emm7cfvmkg383iu5xkoboz1m;94;15;1;5;51;;69,1;67,6;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;Y;N;N;N;N;N;N;N;N;N;50,7;19;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Attempt Saved;away;30,9;17,6;32,136;11,968;71,864;11,968;34,29220786;35;1;X32|Y10;18-nov-17
1983171066;9emm7cfvmkg383iu5xkoboz1m;129;15;1;7;59;;81,2;48,5;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;54,2;3,8;N;N;N;Y;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;18,8;-1,5;19,552;-1,02;84,448;-1,02;19,5785879;20;1;X18|Y-2;18-nov-17
1778819902;9emm7cfvmkg383iu5xkoboz1m;146;13;1;9;26;;89,5;63,5;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;38;6,9;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;10,5;13,5;10,92;9,18;93,08;9,18;14,26600154;15;1;X10|Y8;18-nov-17
1647653791;a734jtsg0cj811o3s0tm3xega;176;15;1;18;32;;88,3;52,4;;anonymized;N;Y;N;N;Y;N;N;N;N;N;Y;N;Y;N;N;N;N;N;N;N;N;N;N;N;53,8;7;N;N;N;N;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Attempt Saved;away;11,7;2,4;12,168;1,632;91,832;1,632;12,27695597;13;1;X12|Y0;19-ago-17
1328050024;a8gfa97kqbh3oiqpjlfqu2m3u;728;13;2;73;13;;84;32,6;;anonymized;N;N;Y;N;N;N;Y;N;N;N;N;N;N;N;N;N;N;Y;N;N;N;N;N;N;40,2;62,5;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;16;-17,4;16,64;-11,832;87,36;-11,832;20,41778205;21;1;X16|Y-12;7-abr-18
1883425775;9hkyjcsocwt18vyofaiux2ru2;746;13;2;64;12;;90,9;59,6;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;Y;N;N;N;N;N;N;N;N;N;N;57,8;76,4;N;N;Y;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;home;9,1;9,6;9,464;6,528;9,464;-6,528;11,49704658;12;1;X8|Y6;29-nov-17
1261638781;a0hw3tkg33ckmak8fzi64skfe;103;13;1;8;8;;95,6;29,1;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;N;Y;N;N;N;43,9;29,2;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;4,4;-20,9;4,576;-14,212;99,424;-14,212;14,9305298;15;1;X4|Y-16;1-mar-18
2074216422;9n4ofkcxbxc1n7od3wsxbjbze;212;13;1;18;8;;91,7;40,4;;anonymized;N;N;N;N;Y;N;N;N;N;N;Y;Y;N;N;N;N;N;N;N;N;N;N;N;N;37;34,7;N;N;N;Y;N;N;N;N;N;Y;N;Shot;anonymized;N;0;Miss;away;8,3;-9,6;8,632;-6,528;95,368;-6,528;10,82248622;11;1;X8|Y-8;23-dic-17
1647693568;a5hha0234esq31tph3mwxjxpm;454;13;2;50;33;;75,9;67,3;;anonymized;N;N;Y;N;Y;N;N;N;N;N;Y;N;N;N;N;N;N;N;N;Y;N;N;N;N;57,3;4,2;N;N;N;Y;N;N;N;N;N;N;N;Shot;anonymized;N;0;Miss;away;24,1;17,3;25,064;11,764;78,936;11,764;27,68746633;28;1;X24|Y10;17-mar-18
